Gtype,tree,trt 1=exc 2= con,Pb
HE-10,S7-1,1,13
HE-10,N6-7,1,32
HE-10,N7-14,1,0
HE-10,N2-1,1,0
RM-2,S3-14,1,0
RM-2,S7-3,1,7
RM-2,N6-12,1,35
RM-2,N4-4,1,0
T-15,S3-21,1,0
T-15,S4-9,1,14
T-15,X-1,1,8
T-15,N1-12,1,14
Coal 3,N7-1,1,4
Coal 3,SSG3-8,1,12
Coal 3,S2-16,1,1
Coal 3,N3-20,1,35
1000,N7-6,1,6
1000,SSG1-1,1,15
1000,S6-14,1,0
1000,S5-6,1,3
1020,N3-29,1,0
1020,S1-14,1,0
1020,S7-10,1,0
1020,S5-5,1,0
WC-5,N7-8,1,8
WC-5,N4-12,1,8
WC-5,N2-28,1,5
WC-5,N2-31,1,50
1008,S7-14,1,0
1008,N4-14,1,0
1008,N1-31,1,0
1008,N2-25,1,0
1017,N1-24,1,2
1017,N1-20,1,1
1017,N1-16,1,1
1017,N3-13,1,26
996,N1-34,1,0
996,N2-29,1,2
996,N2-10,1,0
996,N3-27,1,0
HE-10,S7-1,2,54
HE-10,N6-7,2,42
HE-10,N7-14,2,25
HE-10,N2-1,2,20
RM-2,S3-14,2,40
RM-2,S7-3,2,12
RM-2,N6-12,2,68
RM-2,N4-4,2,8
T-15,S3-21,2,25
T-15,S4-9,2,50
T-15,X-1,2,36
T-15,N1-12,2,27
Coal 3,N7-1,2,16
Coal 3,SSG3-8,2,50
Coal 3,S2-16,2,11
Coal 3,N3-20,2,130
1000,N7-6,2,32
1000,SSG1-1,2,70
1000,S6-14,2,10
1000,S5-6,2,20
1020,N3-29,2,1
1020,S1-14,2,3
1020,S7-10,2,0
1020,S5-5,2,0
WC-5,N7-8,2,35
WC-5,N4-12,2,41
WC-5,N2-28,2,54
WC-5,N2-31,2,76
1008,S7-14,2,3
1008,N4-14,2,1
1008,N1-31,2,0
1008,N2-25,2,0
1017,N1-24,2,31
1017,N1-20,2,72
1017,N1-16,2,124
1017,N3-13,2,40
996,N1-34,2,8
996,N2-29,2,7
996,N2-10,2,2
996,N3-27,2,9
