"Gtype","tree","trt","pb","old.trt"
"HE-10","S7-1",2,13,"S7-1"
"HE-10","N6-7",2,32,"N6-7"
"HE-10","N7-14",2,0,"N7-14"
"HE-10","N2-1",2,0,"N2-1"
"RM-2","S3-14",2,0,"S3-14"
"RM-2","S7-3",2,7,"S7-3"
"RM-2","N6-12",2,35,"N6-12"
"RM-2","N4-4",2,0,"N4-4"
"T-15","S3-21",2,0,"S3-21"
"T-15","S4-9",2,14,"S4-9"
"T-15","X-1",2,8,"N4-17"
"T-15","N1-12",2,14,"N1-12"
"Coal 3","N7-1",2,4,"N7-1"
"Coal 3","SSG3-8",2,12,"SSG3-8"
"Coal 3","S2-16",2,1,"S2-16"
"Coal 3","N3-20",2,35,"N3-20"
1000,"N7-6",2,6,"N7-6"
1000,"SSG1-1",2,15,"SSG1-1"
1000,"S6-14",2,0,"S6-14"
1000,"S5-6",2,3,"S5-6"
1020,"N3-29",2,0,"N3-29"
1020,"S1-14",2,0,"S1-14"
1020,"S7-10",2,0,"S7-10"
1020,"S5-5",2,0,"S5-5"
"WC-5","N7-8",2,8,"N7-8"
"WC-5","N4-12",2,8,"N4-12"
"WC-5","N2-28",2,5,"N2-28"
"WC-5","N2-31",2,50,"N2-31"
1008,"S7-14",2,0,"S3-7"
1008,"N4-14",2,0,"N4-14"
1008,"N1-31",2,0,"N1-31"
1008,"N2-25",2,0,"N2-25"
1017,"N1-24",2,2,"N1-24"
1017,"N1-20",2,1,"N1-20"
1017,"N1-16",2,1,"N1-16"
1017,"N3-13",2,26,"N3-13"
996,"N1-34",2,0,"N1-34"
996,"N2-29",2,2,"N2-29"
996,"N2-10",2,0,"N2-10"
996,"N3-27",2,0,"N3-27"
"HE-10","S7-1",1,54,
"HE-10","N6-7",1,42,
"HE-10","N7-14",1,25,
"HE-10","N2-1",1,20,
"RM-2","S3-14",1,40,
"RM-2","S7-3",1,12,
"RM-2","N6-12",1,68,
"RM-2","N4-4",1,8,
"T-15","S3-21",1,25,
"T-15","S4-9",1,50,
"T-15","X-1",1,36,
"T-15","N1-12",1,27,
"Coal 3","N7-1",1,16,
"Coal 3","SSG3-8",1,50,
"Coal 3","S2-16",1,11,
"Coal 3","N3-20",1,130,
1000,"N7-6",1,32,
1000,"SSG1-1",1,70,
1000,"S6-14",1,10,
1000,"S5-6",1,20,
1020,"N3-29",1,1,
1020,"S1-14",1,3,
1020,"S7-10",1,0,
1020,"S5-5",1,0,
"WC-5","N7-8",1,35,
"WC-5","N4-12",1,41,
"WC-5","N2-28",1,54,
"WC-5","N2-31",1,76,
1008,"S7-14",1,3,
1008,"N4-14",1,1,
1008,"N1-31",1,0,
1008,"N2-25",1,0,
1017,"N1-24",1,31,
1017,"N1-20",1,72,
1017,"N1-16",1,124,
1017,"N3-13",1,40,
996,"N1-34",1,8,
996,"N2-29",1,7,
996,"N2-10",1,2,
996,"N3-27",1,9,
