"name","number"
"Anthocorid",1
"Araniella",2
"Asilidae",3
"Assassin..rd.blk.",4
"BEB",5
"Bp.Chalcid",6
"Braconid",7
"Calophorid",8
"Cercopid..brn.",9
"Cercopid.brn.",10
"Chait..grn.",11
"Cocc.nymph..blk.orng.",12
"Coenagrionidae",13
"Earwig",14
"edge.mnr.",15
"egg.on.a.stick",16
"Fly..brn.rnd.",17
"Fly..gldn.Dolicho.",18
"Formica.spp.2",19
"Globuli",20
"Lacewing..grn.",21
"Lbb..many.spt.",22
"Lf.tier",23
"Lfhppr..brn.",24
"Lfhppr..brnmtld.",25
"Lfhppr..fisheye.",26
"Lfhppr..grn.",27
"Lfhppr..sknk.",28
"Melyrid..gry.blk.",29
"midge",30
"Mirid..blk.brn.",31
"Mirid..brn.",32
"Muscid",33
"Myrm.ant",34
"Paras.",35
"pb",36
"Penta..brachy.",37
"Pentatomid..red.blk.wht.",38
"Phylla",39
"punkie",40
"red.mite",41
"serp.lf.mnr.",42
"Snakefly",43
"stem.borer",44
"Syrphid..lttl.yllw.",45
"T.dip",46
"Thec..aff.",47
"Thrip..blk.",48
"TinyT.dip",49
"Tip..mnr",50
"Tip.roller",51
"Weevil..blk.",52
